mezonot bread 680g, 7.1, kg, 4.80, 0.68kg, 1
seed bread 520g, 11.5, kg, 5.99, 0.52kg, 1
seeded rye bread 680g, 7.1, kg, 4.80, 0.68kg, 1
white bread 680g, 6.6, kg, 4.50, 0.68kg, 1
whoemeal bread 680g, 6.6, kg, 4.50, 0.68kg, 1
7 grain rye bread 850g, 8.2, kg, 6.99, 0.85kg, 1
ginger kisses 150g, 14.0, kg, 2.10, 0.15kg, 1
pan style bread slices with cheese 6 pack 450g, 13.0, kg, 5.83, 0.45kg, 1
marble choc brioche 400g, 17.5, kg, 6.99, 0.4kg, 1
mini chinois with pastry cream 300g, 16.6, kg, 4.99, 0.3kg, 1
golden crunch cookies 250g, 18.4, kg, 4.60, 0.25kg, 1
bread gluten free 550g, 10.6, kg, 5.85, 0.55kg, 1
country bread loaf 500g, 10.9, kg, 5.45, 0.5kg, 1
soy and linseed bread gluten free 550g, 10.6, kg, 5.85, 0.55kg, 1
peppa pig celebration cake 980g, 22.4, kg, 22.00, 0.98kg, 1
hello kitty celebration cake 980g, 20.4, kg, 20.00, 0.98kg, 1
spongebob celebration cake 940g, 23.4, kg, 22.00, 0.94kg, 1
crumpets 4 pack 4 pack, 2.05 , kg, 8.19, 4pk, 1
vitastic garlic afghan bread 400g, 10.4, kg, 4.15, 0.4kg, 1
souvlaki pita 6 pack 450g, 8.6, kg, 3.89, 0.45kg, 1
crumpets 6 pack, 0.60 , kg, 3.59, 6pk, 1
wholemeal muffins, 0.00 , kg, 4.69, NA, 1
round garlic and herb pizza base 200 g, 15.0, kg, 3.00, NA, 1
12 grains and seeds sandwich bread 700g, 7.8, kg, 5.45, 0.7kg, 1
